run_id,procedure_id,status,duration_s,samples,checks_passed,checks_total,pressure_peak_bar,flow_peak_l_min,hardware_mode,archive_sha256,recording_sha256,source_run_json
run_20260912T162352_6515a9,adc_validation,failed,16.776,169,3,4,0.0,0.0,raspberry_pi,b73426a1eb01eeb29a58c34d3fbbdbc51321660b7a804361650f440afd8346df,fbabf42bf15716bb561907504adb0a66c92c47ae35decb4b00815786d14f65d1,evidence/lab-pulled/20260912T162432569490Z_run_20260912T162352_6515a9/procedure_runs/run_20260912T162352_6515a9/run.json
run_20260912T164217_0362c1,adc_validation,passed,128.998,1291,4,4,8.10418,17.67273,raspberry_pi,a1b791bcf8cea13b772c42f7737c8b72e82c6f38179647a0e63e265244da9382,0b01e6ab8a4af1e90b4eda63e983f456a039932ec7cee7b368af582717ef008d,evidence/lab-pulled/20260912T164450258901Z_run_20260912T164217_0362c1/procedure_runs/run_20260912T164217_0362c1/run.json
run_20260912T164757_036efd,relay_truth_table,passed,1.573,27,5,5,2.16838,8.59394,raspberry_pi,cd6788810db34aa892eadbaed4f499e80033ae0d3018b85662c9295259b20c69,23cfcba8eca31e8dd43db571d20e775f6fe625d59dd2b45b923a85abcd5c8735,evidence/lab-pulled/20260912T164810167668Z_run_20260912T164757_036efd/procedure_runs/run_20260912T164757_036efd/run.json
run_20260912T164815_fac7e1,pressure_guardrail,passed,43.928,445,6,6,4.83343,8.59394,raspberry_pi,c059b8d62b3ca1d776a08e5844fe2765bbbf3f660b5fb1ac7e6381557a120d5c,ab60a10a521b07e8554c05170388c30469eba002c713120fe239dd9a439c5192,evidence/lab-pulled/20260912T164908867002Z_run_20260912T164815_fac7e1/procedure_runs/run_20260912T164815_fac7e1/run.json
run_20260912T164909_fa83c5,flow_guardrail,passed,65.119,657,6,6,2.7983,15.40606,raspberry_pi,89fe95050d66029a0d0d4f2f760455c5cbde4af350d70213b79ef6ca22287e03,825a779aa0fefdebf87343f64302a7f5ce0bfa2da6314e11c9361bed79a22da3,evidence/lab-pulled/20260912T165027347332Z_run_20260912T164909_fa83c5/procedure_runs/run_20260912T164909_fa83c5/run.json
run_20260912T165027_1abed2,dual_pot_guardrail,passed,72.996,738,9,9,4.33677,15.21212,raspberry_pi,908f2ad825b621425b8c8661acf3492ebc86e983ff96d26b3b74ec18f94cae54,aca42c8f6b8ba62100a1ff500f09a413684fcf3dd992c8342fdd1d95b90d7445,evidence/lab-pulled/20260912T165154313995Z_run_20260912T165027_1abed2/procedure_runs/run_20260912T165027_1abed2/run.json
run_20260912T165154_255355,estop_anti_restart,passed,25.926,264,4,4,3.13144,7.47879,raspberry_pi,a9d9f3c24de999323c20508016822f3fd76cec8eaf89cc13c88ecc968d89098f,205149a1248dd3986b1f1aee81fe9a14f4e3f71118576eb0eacd9d5e35b81347,evidence/lab-pulled/20260912T165231694041Z_run_20260912T165154_255355/procedure_runs/run_20260912T165154_255355/run.json
