sample_index,timestamp_utc,elapsed_s,event,reason,pressure_voltage_v,pressure_bar,pressure_state,flow_voltage_v,flow_l_min,flow_state,estop_active,process_healthy,trip_latched,permit_requested,gpio23_command_high,relay_energized_expected,red_indicator_expected,green_indicator_expected,record_kind
306,2026-09-12T07:04:51.147504+00:00,30.632532,,pressure_invalid,-0.146,-0.44216,invalid,-0.144,-0.87273,invalid,false,false,true,false,false,false,true,false,sample
307,2026-09-12T07:04:51.247491+00:00,30.732795,,pressure_invalid,-0.144,-0.4361,invalid,-0.144,-0.87273,invalid,false,false,true,false,false,false,true,false,sample
308,2026-09-12T07:04:51.347498+00:00,30.832198,,pressure_invalid,-0.144,-0.4361,invalid,-0.144,-0.87273,invalid,false,false,true,false,false,false,true,false,sample
309,2026-09-12T07:04:51.447471+00:00,30.932147,,pressure_invalid,-0.144,-0.4361,invalid,-0.144,-0.87273,invalid,false,false,true,false,false,false,true,false,sample
310,2026-09-12T07:04:51.547477+00:00,31.032168,,pressure_invalid,-0.144,-0.4361,invalid,-0.144,-0.87273,invalid,false,false,true,false,false,false,true,false,sample
311,2026-09-12T07:04:51.647472+00:00,31.132133,,pressure_invalid,-0.144,-0.4361,invalid,-0.144,-0.87273,invalid,false,false,true,false,false,false,true,false,sample
312,2026-09-12T07:04:51.747476+00:00,31.232143,,pressure_invalid,-0.144,-0.4361,invalid,-0.144,-0.87273,invalid,false,false,true,false,false,false,true,false,sample
313,2026-09-12T07:04:51.847474+00:00,31.332158,,pressure_invalid,-0.144,-0.4361,invalid,-0.144,-0.87273,invalid,false,false,true,false,false,false,true,false,sample
314,2026-09-12T07:04:51.947471+00:00,31.432163,,pressure_invalid,-0.144,-0.4361,invalid,-0.144,-0.87273,invalid,false,false,true,false,false,false,true,false,sample
315,2026-09-12T07:04:52.047477+00:00,31.532151,,pressure_invalid,-0.144,-0.4361,invalid,-0.144,-0.87273,invalid,false,false,true,false,false,false,true,false,sample
316,2026-09-12T07:04:52.147477+00:00,31.632145,,pressure_invalid,-0.144,-0.4361,invalid,-0.142,-0.86061,invalid,false,false,true,false,false,false,true,false,sample
317,2026-09-12T07:04:52.247470+00:00,31.732132,,pressure_invalid,-0.144,-0.4361,invalid,-0.144,-0.87273,invalid,false,false,true,false,false,false,true,false,sample
318,2026-09-12T07:04:52.347472+00:00,31.832159,,pressure_invalid,-0.144,-0.4361,invalid,-0.144,-0.87273,invalid,false,false,true,false,false,false,true,false,sample
319,2026-09-12T07:04:52.447471+00:00,31.932137,,pressure_invalid,-0.144,-0.4361,invalid,-0.144,-0.87273,invalid,false,false,true,false,false,false,true,false,sample
320,2026-09-12T07:04:52.547451+00:00,32.032004,,pressure_invalid,-0.144,-0.4361,invalid,-0.144,-0.87273,invalid,false,false,true,false,false,false,true,false,sample
321,2026-09-12T07:04:52.647447+00:00,32.131987,,pressure_invalid,-0.138,-0.41793,invalid,-0.144,-0.87273,invalid,false,false,true,false,false,false,true,false,sample
322,2026-09-12T07:04:52.747441+00:00,32.231981,,pressure_invalid,-0.138,-0.41793,invalid,-0.144,-0.87273,invalid,false,false,true,false,false,false,true,false,sample
323,2026-09-12T07:04:52.847445+00:00,32.331988,,pressure_invalid,-0.144,-0.4361,invalid,-0.146,-0.88485,invalid,false,false,true,false,false,false,true,false,sample
324,2026-09-12T07:04:52.947446+00:00,32.431985,,pressure_invalid,-0.144,-0.4361,invalid,-0.144,-0.87273,invalid,false,false,true,false,false,false,true,false,sample
325,2026-09-12T07:04:53.047445+00:00,32.531991,,pressure_invalid,-0.144,-0.4361,invalid,-0.144,-0.87273,invalid,false,false,true,false,false,false,true,false,sample
326,2026-09-12T07:04:53.147446+00:00,32.631993,,pressure_invalid,-0.146,-0.44216,invalid,-0.142,-0.86061,invalid,false,false,true,false,false,false,true,false,sample
327,2026-09-12T07:04:53.247448+00:00,32.731990,,pressure_invalid,-0.138,-0.41793,invalid,-0.138,-0.83636,invalid,false,false,true,false,false,false,true,false,sample
328,2026-09-12T07:04:53.347454+00:00,32.832003,,pressure_invalid,-0.144,-0.4361,invalid,-0.144,-0.87273,invalid,false,false,true,false,false,false,true,false,sample
329,2026-09-12T07:04:53.447446+00:00,32.931994,,pressure_invalid,-0.144,-0.4361,invalid,-0.146,-0.88485,invalid,false,false,true,false,false,false,true,false,sample
330,2026-09-12T07:04:53.547444+00:00,33.032000,,pressure_invalid,-0.142,-0.43004,invalid,-0.142,-0.86061,invalid,false,false,true,false,false,false,true,false,sample
331,2026-09-12T07:04:53.647445+00:00,33.131994,,pressure_invalid,-0.142,-0.43004,invalid,-0.144,-0.87273,invalid,false,false,true,false,false,false,true,false,sample
332,2026-09-12T07:04:53.747445+00:00,33.231989,,pressure_invalid,-0.144,-0.4361,invalid,-0.144,-0.87273,invalid,false,false,true,false,false,false,true,false,sample
333,2026-09-12T07:04:53.847445+00:00,33.331988,,pressure_invalid,-0.144,-0.4361,invalid,-0.144,-0.87273,invalid,false,false,true,false,false,false,true,false,sample
334,2026-09-12T07:04:53.947447+00:00,33.431992,,pressure_invalid,-0.144,-0.4361,invalid,-0.144,-0.87273,invalid,false,false,true,false,false,false,true,false,sample
335,2026-09-12T07:04:54.047448+00:00,33.531998,,pressure_invalid,-0.144,-0.4361,invalid,-0.144,-0.87273,invalid,false,false,true,false,false,false,true,false,sample
336,2026-09-12T07:04:54.147445+00:00,33.631989,,pressure_invalid,-0.146,-0.44216,invalid,-0.142,-0.86061,invalid,false,false,true,false,false,false,true,false,sample
337,2026-09-12T07:04:54.247445+00:00,33.731995,,pressure_invalid,-0.14,-0.42399,invalid,-0.144,-0.87273,invalid,false,false,true,false,false,false,true,false,sample
338,2026-09-12T07:04:54.347447+00:00,33.831990,,pressure_invalid,-0.146,-0.44216,invalid,-0.144,-0.87273,invalid,false,false,true,false,false,false,true,false,sample
339,2026-09-12T07:04:54.447445+00:00,33.931990,,pressure_invalid,-0.146,-0.44216,invalid,-0.148,-0.89697,invalid,false,false,true,false,false,false,true,false,sample
